time	V(n002)	I(C1)
1.351162045262754e+00	3.705307e+00	1.294692e-04
1.356044857762754e+00	3.711614e+00	1.288386e-04
1.360927670262754e+00	3.717890e+00	1.282110e-04
1.365810482762754e+00	3.724134e+00	1.275866e-04
1.370693295262754e+00	3.730349e+00	1.269651e-04
1.375576107762754e+00	3.736534e+00	1.263466e-04
1.380458920262754e+00	3.742688e+00	1.257312e-04
1.385341732762754e+00	3.748812e+00	1.251188e-04
1.390224545262754e+00	3.754906e+00	1.245093e-04
1.395107357762754e+00	3.760971e+00	1.239029e-04
1.399990170262754e+00	3.767006e+00	1.232994e-04
1.404872982762754e+00	3.773012e+00	1.226988e-04
1.409755795262754e+00	3.778989e+00	1.221011e-04
1.414638607762754e+00	3.784936e+00	1.215064e-04
1.419521420262754e+00	3.790855e+00	1.209145e-04
1.424404232762754e+00	3.796744e+00	1.203256e-04
1.429287045262754e+00	3.802605e+00	1.197395e-04
1.434169857762754e+00	3.808438e+00	1.191562e-04
1.439052670262754e+00	3.814242e+00	1.185758e-04
1.443935482762754e+00	3.820018e+00	1.179982e-04
1.448818295262754e+00	3.825765e+00	1.174235e-04
1.453701107762754e+00	3.831485e+00	1.168515e-04
1.458583920262754e+00	3.837177e+00	1.162824e-04
1.463466732762754e+00	3.842840e+00	1.157159e-04
1.468349545262754e+00	3.848477e+00	1.151523e-04
1.473232357762754e+00	3.854086e+00	1.145914e-04
1.478115170262754e+00	3.859668e+00	1.140332e-04
1.482997982762754e+00	3.865222e+00	1.134778e-04
1.487880795262754e+00	3.870749e+00	1.129251e-04
1.492763607762754e+00	3.876250e+00	1.123750e-04
1.497646420262754e+00	3.881724e+00	1.118276e-04
1.502529232762754e+00	3.887171e+00	1.112829e-04
1.507412045262754e+00	3.892591e+00	1.107409e-04
1.512294857762754e+00	3.897985e+00	1.102015e-04
1.517177670262754e+00	3.903353e+00	1.096647e-04
1.522060482762754e+00	3.908695e+00	1.091305e-04
1.526943295262754e+00	3.914011e+00	1.085990e-04
1.531826107762754e+00	3.919300e+00	1.080700e-04
1.536708920262754e+00	3.924564e+00	1.075436e-04
1.541591732762754e+00	3.929803e+00	1.070197e-04
1.546474545262754e+00	3.935015e+00	1.064985e-04
1.551357357762754e+00	3.940203e+00	1.059797e-04
1.556240170262754e+00	3.945365e+00	1.054635e-04
1.561122982762754e+00	3.950502e+00	1.049498e-04
1.566005795262754e+00	3.955614e+00	1.044386e-04
1.570888607762754e+00	3.960701e+00	1.039299e-04
1.575771420262754e+00	3.965764e+00	1.034236e-04
1.580654232762754e+00	3.970801e+00	1.029199e-04
1.585537045262754e+00	3.975814e+00	1.024186e-04
1.590419857762754e+00	3.980803e+00	1.019197e-04
1.595302670262754e+00	3.985768e+00	1.014232e-04
1.600185482762754e+00	3.990708e+00	1.009292e-04
1.605068295262754e+00	3.995624e+00	1.004376e-04
1.609951107762754e+00	4.000516e+00	9.994837e-05
1.614833920262754e+00	4.005384e+00	9.946153e-05
1.619716732762754e+00	4.010230e+00	9.897706e-05
